Kabupaten/Kota,Tingkat_Kemiskinan (%),PDRB_per_Kapita (Ribu Rp),TPT (%),Gini_Ratio,Umur Harapan Hidup(Tahun),Harapan Lama Sekolah(Tahun),Rata-rata Lama Sekolah(Tahun),Pengeluaran Per Kapita(Ribu Rupiah/Orang/Tahun),Laju Pertumbuhan Ekonomi,Cluster
Agam,0.3553590010405827,0.23779880016748745,0.4100515463917526,0.37185929648241167,0.742763772175536,0.341109383100052,0.35014409221902,0.42236997422369993,0.43971631205673756,2
Dharmasraya,0.2729795352063822,0.3906421957157309,0.5288659793814432,0.38358458961474007,0.6830065359477118,0.0025920165889061764,0.26080691642651277,0.6097419960974202,0.48581560283687875,2
Kepulauan Mentawai,1.0,0.5478098795350372,0.0,0.48073701842546024,0.0,0.06583722135821723,0.0,0.0,0.1595744680851059,3
Kota Bukittinggi,0.1663198057578911,1.0,0.4286082474226805,0.5242881072026799,1.0,0.6251944012441677,0.9241114313160421,0.8498229384982297,0.9929078014184398,1
Kota Padang,0.15747485258411373,0.9073964968447887,1.0,1.0,0.9150326797385624,1.0,0.9317963496637847,1.0,0.8794326241134769,4
Kota Padang Panjang,0.2532084634061741,0.7631423902531207,0.4626288659793814,0.5561139028475712,0.7577030812324956,0.6817003628823222,0.9999999999999998,0.5488424754884249,0.8936170212765964,1
Kota Pariaman,0.15296566077003124,0.5778427470902763,0.4886597938144331,0.6046901172529315,0.7259570494864604,0.5220321410057025,0.765609990393852,0.7936691479366915,0.8865248226950362,1
Kota Payakumbuh,0.267429760665973,0.4909123247773939,0.4592783505154639,0.7420435510887771,0.874883286647993,0.4525660964230167,0.7588856868395772,0.8517260485172606,0.9113475177304977,1
Kota Sawah Lunto,0.0,0.658937047700568,0.42757731958762896,0.6381909547738691,0.6307189542483655,0.23587350959046116,0.6522574447646494,0.47763243477632455,0.0,6
Kota Solok,0.05532431494970516,0.5954252216799876,0.33530927835051544,0.48576214405360174,0.8258636788048541,0.44064282011404865,0.855907780979827,0.7099082170990825,1.0,1
Lima Puluh Kota,0.37669094693028093,0.27806248170422165,0.21778350515463918,0.0,0.5051353874883304,0.1850699844479009,0.10614793467819417,0.412685794126858,0.36524822695035386,5
Padang Pariaman,0.34616718695802984,0.35738556569620306,0.6775773195876289,0.3316582914572863,0.6363211951447241,0.3483670295489887,0.14265129682997135,0.5556117655561179,0.8687943262411357,2
Pasaman,0.37998612556364897,0.036921343901345494,0.44768041237113404,0.10217755443886078,0.22875816993464326,0.1420425090720583,0.10614793467819417,0.24709113247091152,0.3475177304964543,5
Pasaman Barat,0.3933402705515088,0.17368298186911524,0.7608247422680412,0.31658291457286447,0.3277310924369736,0.26075686884396054,0.2507204610951008,0.33015345330153467,0.6453900709219864,2
Pesisir Selatan,0.42317030870620886,0.0,0.43840206185567016,0.22780569514237836,0.5322128851540668,0.17107309486780675,0.21469740634005752,0.3693237936932381,0.25177304964538916,5
Sijunjung,0.30575789108567464,0.2520945192332633,0.36056701030927835,0.29648241206030157,0.3580765639589174,0.0,0.17243035542747331,0.5008551950085522,0.06382978723404253,5
Solok,0.4181408255289628,0.14909716123629446,0.4298969072164948,0.16750418760468966,0.2885154061624675,0.18818040435458805,0.05475504322766578,0.46626195466261966,0.19148936170212671,5
Solok Selatan,0.3652445369406867,0.048019238821510934,0.18634020618556696,0.4790619765494135,0.260971055088703,0.04717470191809259,0.2300672430355426,0.4859193948591942,0.47517730496453936,5
Tanah Datar,0.15348595213319452,0.15445898225448462,0.4631443298969073,0.25628140703517577,0.7012138188608787,0.5355106272680143,0.3174831892411143,0.49550721495507233,0.028368794326239843,2
